nohup: ignoring input
2019-01-22 08:49:25.962069: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-01-22 08:49:25.962438: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:00:04.0
totalMemory: 15.90GiB freeMemory: 15.61GiB
2019-01-22 08:49:25.962457: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-01-22 08:49:26.323948: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-01-22 08:49:26.324009: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-01-22 08:49:26.324018: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-01-22 08:49:26.324345: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15129 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:00:04.0, compute capability: 6.0)
Namespace(batch_size=128, beam_width=10, corpus_name='GooglePlay', data_path='data', dropout=0.25, embedding_size=128, eval_file='data/dev.txt', learning_rate=0.001, max_dialog_len=5, max_utterance_len=35, num_epochs=15, num_hidden_layers=1, num_hidden_units=256, restore=False, restore_path='model/model.ckpt', root_path='model_v0', save_path='model/model.ckpt', test_file='data/test.txt', train_file='data/train.txt', use_beam_search=False)
Building the TensorFlow graph...
Building the TensorFlow graph...
TensorFlow variables initialized.
[2019-01-22 08:49:35.546483] batch=0100, loss=5.5593
[2019-01-22 08:55:18.927134] batch=0300, loss=0.1876
[2019-01-22 08:55:23.636666] batch=0400, loss=0.2027
[2019-01-22 08:55:28.288728] batch=0500, loss=0.1765
[2019-01-22 08:55:32.905333] batch=0600, loss=0.1952
[2019-01-22 08:55:37.548989] batch=0700, loss=0.1513
Epoch=11, train_loss=0.1838
Epoch=11, eval_loss=6.9550
[2019-01-22 08:55:42.465640] batch=0100, loss=0.1791
[2019-01-22 08:55:47.032312] batch=0200, loss=0.2102
[2019-01-22 08:55:51.726975] batch=0300, loss=0.1703
[2019-01-22 08:55:56.384979] batch=0400, loss=0.1856
[2019-01-22 08:56:01.121005] batch=0500, loss=0.1677
[2019-01-22 08:56:05.909322] batch=0600, loss=0.1835
[2019-01-22 08:56:10.765361] batch=0700, loss=0.1530
Epoch=12, train_loss=0.1770
Epoch=12, eval_loss=7.0321
[2019-01-22 08:56:15.847039] batch=0100, loss=0.1720
[2019-01-22 08:56:20.489380] batch=0200, loss=0.1986
[2019-01-22 08:56:25.096035] batch=0300, loss=0.1649
[2019-01-22 08:56:29.808696] batch=0400, loss=0.1908
[2019-01-22 08:56:34.539374] batch=0500, loss=0.1604
[2019-01-22 08:56:39.151745] batch=0600, loss=0.1801
[2019-01-22 08:56:43.857936] batch=0700, loss=0.1543
Epoch=13, train_loss=0.1721
Epoch=13, eval_loss=7.0792
[2019-01-22 08:56:48.942234] batch=0100, loss=0.1684
[2019-01-22 08:56:53.650261] batch=0200, loss=0.1873
[2019-01-22 08:56:58.333368] batch=0300, loss=0.1617
[2019-01-22 08:57:03.245184] batch=0400, loss=0.1802
[2019-01-22 08:57:08.194714] batch=0500, loss=0.1588
[2019-01-22 08:57:13.020206] batch=0600, loss=0.1784
[2019-01-22 08:57:17.779345] batch=0700, loss=0.1497
Epoch=14, train_loss=0.1679
Epoch=14, eval_loss=7.1045
[2019-01-22 08:57:22.875605] batch=0100, loss=0.1617
[2019-01-22 08:57:27.592430] batch=0200, loss=0.2003
[2019-01-22 08:57:32.152378] batch=0300, loss=0.1659
[2019-01-22 08:57:36.685912] batch=0400, loss=0.1805
[2019-01-22 08:57:41.235820] batch=0500, loss=0.1603
[2019-01-22 08:57:45.798249] batch=0600, loss=0.1706
[2019-01-22 08:57:50.468114] batch=0700, loss=0.1476
Epoch=15, train_loss=0.1639
Epoch=15, eval_loss=7.1820
Time to train model is 8.4324 minutes.
>>> 
